Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
1, 8755419, 49639, 8965
2, 8631157, 45634, 7915
3, 8588447, 49059, 8304
4, 8551353, 44699, 7755
5, 8569823, 55628, 10440
6, 8529338, 44635, 8119
7, 8662001, 53829, 9450
8, 8464720, 44394, 7635
9, 8411812, 42454, 7530
10, 8401761, 42339, 7515
11, 8406066, 41904, 7410
12, 8398821, 41889, 7455
13, 8392156, 41759, 7445
14, 8397701, 41983, 7469
15, 8420121, 41884, 7470
16, 8439951, 41954, 7495
17, 8392841, 41854, 7514
18, 8397741, 41859, 7530
19, 8395692, 41819, 7490
20, 8391337, 42029, 7435
21, 8391356, 42299, 7410
22, 8392786, 47889, 7455
23, 8397786, 41474, 7415
24, 8389381, 41699, 7550
25, 8384962, 41624, 7390
26, 8392931, 41699, 7340
27, 8392247, 41620, 7459
28, 8396422, 41814, 7330
29, 8396462, 41614, 7445
30, 8385947, 47339, 7510
31, 8395601, 41674, 7470
32, 8388322, 41964, 7479
33, 8384667, 42019, 7440
34, 8493550, 42224, 7465
35, 8391347, 41844, 7440
36, 8393781, 41869, 7290
37, 8402206, 41700, 7429
38, 8391846, 41453, 7420
39, 8395517, 41704, 7450
40, 8390411, 41904, 7370
41, 8389216, 41584, 7410
42, 8397986, 42809, 7596
43, 8399596, 41679, 7430
44, 8381527, 41709, 7355
45, 8385302, 41694, 7270
46, 8431670, 42850, 7709
47, 8402506, 41634, 7364
48, 8396622, 41829, 7365
49, 8382967, 41559, 7410
50, 8379291, 41654, 7325
51, 8385827, 41594, 7390
52, 8378546, 41495, 7465
53, 8388907, 42064, 7465
54, 8419985, 41834, 7470
55, 8416926, 44375, 8580
56, 8489764, 47174, 8670
57, 8556233, 43469, 7780
58, 8398146, 41839, 7475
59, 8395976, 42389, 7560
60, 8390602, 41714, 7395
61, 8404181, 41824, 7445
62, 8391937, 41619, 7464
63, 8384947, 41669, 7420
64, 8389582, 41619, 7400
65, 8430751, 42754, 7559
66, 8427420, 42055, 7595
67, 8393812, 41749, 7375
68, 8387552, 41854, 7330
69, 8447881, 42714, 7659
70, 8393566, 41784, 7540
71, 8397661, 41794, 7484
72, 8388477, 41849, 7429
73, 8384932, 41689, 7340
74, 8388216, 41984, 7545
75, 8398711, 41754, 7360
76, 8390697, 41624, 7495
77, 8392821, 41754, 7510
78, 8389192, 41669, 7450
79, 8384261, 41630, 7510
80, 8407482, 41909, 7390
81, 8406276, 42485, 7560
82, 8396477, 41674, 7570
83, 8387267, 41609, 7455
84, 8405946, 41764, 7495
85, 8387646, 41635, 7564
86, 8383747, 41574, 7450
87, 8390802, 41724, 7540
88, 8395181, 41615, 7439
89, 8398706, 41894, 7334
90, 8392072, 41704, 7260
91, 8381731, 41589, 7350
92, 8392031, 41965, 7719
93, 8387196, 41929, 7434
94, 9144111, 187066, 8479
95, 8424946, 43114, 7395
96, 8398012, 42019, 7530
97, 8714576, 43804, 8175
98, 9426710, 44839, 8030
99, 8503844, 44109, 7909
100, 9152711, 50363, 8014
101, 10849576, 45534, 8100
102, 9152371, 43589, 7830
103, 8395252, 42149, 7345
104, 8383141, 41714, 7360
105, 8409621, 42094, 7380
106, 8389731, 41609, 7370
107, 8390227, 41614, 7510
108, 8381932, 41629, 7525
109, 8388666, 41725, 7384
110, 8388082, 41869, 7370
111, 8392176, 41709, 7450
112, 8390201, 42080, 7340
113, 8408466, 42004, 7450
114, 8425751, 41874, 7450
115, 8393590, 41649, 7515
116, 8394307, 41769, 7455
117, 8401326, 43075, 7484
118, 8400066, 41774, 7445
119, 8387242, 41529, 7400
120, 8388291, 41689, 7410
121, 8383882, 41630, 7340
122, 8389491, 41635, 7549
123, 8395367, 41984, 7395
124, 8409991, 41964, 7415
125, 8423996, 45329, 8235
