Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
1, 27389, 2865, 1310
2, 23849, 2210, 970
3, 23264, 2095, 915
4, 23499, 2235, 850
5, 23115, 2110, 810
6, 23645, 2140, 854
7, 23034, 2125, 890
8, 23394, 2150, 830
9, 23294, 2130, 820
10, 23519, 2150, 855
11, 23710, 2165, 890
12, 23704, 2246, 869
13, 23619, 2205, 910
14, 23394, 2195, 835
15, 23675, 2230, 850
16, 23595, 2125, 895
17, 23515, 2189, 830
18, 23685, 2224, 835
19, 23494, 2170, 860
20, 23359, 2195, 885
21, 23629, 2230, 850
22, 23640, 2130, 875
23, 23380, 2205, 844
24, 23590, 2159, 795
25, 23424, 2165, 890
26, 23319, 2205, 825
27, 23549, 2180, 840
28, 23745, 2125, 880
29, 23445, 2210, 870
30, 23740, 2185, 820
31, 23554, 2185, 875
32, 23274, 2195, 835
33, 23554, 2220, 845
34, 23680, 2125, 905
35, 23425, 2210, 830
36, 23744, 2175, 825
37, 23429, 2185, 870
38, 23275, 2200, 865
39, 23525, 2185, 850
40, 26949, 2345, 1065
41, 23729, 2315, 950
42, 23529, 2240, 885
43, 23565, 2235, 915
44, 23400, 2260, 835
45, 23595, 2194, 844
46, 23650, 2150, 890
47, 23324, 2210, 875
48, 23534, 2225, 825
49, 23454, 2195, 875
50, 23299, 2215, 850
51, 23690, 2190, 820
52, 31429, 2180, 905
53, 23374, 2225, 875
54, 23609, 2170, 810
55, 23415, 2200, 870
56, 23320, 2205, 866
57, 23550, 2219, 845
58, 23894, 2135, 870
59, 23464, 2220, 850
60, 23615, 2190, 795
61, 23439, 2195, 875
62, 23430, 2220, 836
63, 23505, 2184, 839
64, 23654, 2140, 890
65, 23434, 2210, 850
66, 23660, 2190, 820
67, 23445, 2185, 885
68, 23310, 2225, 870
69, 23540, 2190, 826
70, 323952, 2500, 1080
71, 23829, 2290, 910
72, 23755, 2225, 830
73, 23510, 2245, 904
74, 23315, 2256, 880
75, 23529, 2195, 855
76, 24235, 2225, 945
77, 23440, 2250, 880
78, 725367, 2536, 1175
79, 41479, 2374, 1100
80, 125237, 3045, 1220
81, 27374, 2790, 1350
82, 23779, 2215, 995
83, 34049, 2270, 924
84, 23609, 2255, 850
85, 23549, 2195, 870
86, 23305, 2220, 835
87, 23490, 2200, 815
88, 23635, 2129, 870
89, 23319, 2204, 835
90, 23554, 2175, 805
91, 23504, 2200, 880
92, 23375, 2215, 845
93, 23445, 2190, 860
94, 23495, 2130, 856
95, 23354, 2180, 840
96, 23654, 2190, 810
97, 23450, 2190, 900
98, 23235, 2210, 820
99, 23545, 2194, 834
100, 23614, 2139, 890
101, 23229, 2195, 855
102, 23559, 2175, 830
103, 23519, 2190, 880
104, 23305, 2210, 820
105, 23475, 2180, 806
106, 23494, 2124, 870
107, 23239, 2205, 835
108, 23529, 2240, 825
109, 23459, 2200, 865
110, 23210, 2200, 880
111, 23455, 2246, 846
112, 23479, 2125, 875
113, 23339, 2195, 840
114, 23524, 2210, 825
115, 23489, 2185, 890
116, 23240, 2220, 825
117, 23545, 2190, 850
118, 23519, 2130, 890
119, 23324, 2200, 855
120, 23509, 2170, 825
121, 23475, 2195, 880
122, 23390, 2220, 835
123, 23520, 2190, 840
124, 23544, 2120, 885
125, 23204, 2190, 850
126, 23569, 2185, 815
127, 23399, 2180, 870
128, 23145, 2205, 855
129, 23444, 2190, 865
130, 23484, 2165, 870
131, 23309, 2200, 840
132, 23575, 2180, 795
133, 23445, 2190, 880
134, 23220, 2210, 816
135, 23565, 2195, 845
136, 23729, 2130, 880
137, 23254, 2185, 855
138, 23535, 2175, 825
139, 23460, 2190, 895
140, 23294, 2210, 824
141, 23584, 2199, 820
142, 23574, 2120, 890
143, 23219, 2195, 830
144, 23680, 2180, 825
145, 23455, 2205, 885
146, 23195, 2204, 854
147, 23434, 2180, 850
148, 23584, 2130, 870
149, 23235, 2200, 825
150, 23500, 2175, 820
151, 23565, 2194, 886
